# AHRD-Version 3.11

Protein-Accession	Blast-Hit-Accession	AHRD-Quality-Code	Human-Readable-Description	Interpro-ID (Description)	Gene-Ontology-Term
SMED30013155			Unknown protein		
SMED30013154			Unknown protein		
SMED30013157	tr|A0A564YVJ6|A0A564YVJ6_HYMDI	*-*	KH domain-containing protein		GO:0003676, GO:0003723, GO:0016020, GO:0016021
SMED30013156	tr|A0A0A1XAN0|A0A0A1XAN0_ZEUCU	***	Tigger transposable element-derived protein 1		GO:0003676
SMED30013151			Unknown protein		
SMED30013150			Unknown protein		
SMED30013153	tr|A0A1A9WW53|A0A1A9WW53_9MUSC	*-*	Serine/threonine-protein phosphatase		GO:0004721, GO:0006470, GO:0006801, GO:0016787, GO:0046872
SMED30013152			Unknown protein		
SMED30001170	tr|A0A4E0RZP9|A0A4E0RZP9_FASHE	***	Adenylate cyclase type		GO:0009190, GO:0016020, GO:0016021, GO:0035556
SMED30013159	tr|K1PHU8|K1PHU8_CRAGI	*-*	Limbin		GO:0007224, GO:0016020, GO:0016021
SMED30013158			Unknown protein		
SMED30001177			Unknown protein		
SMED30025144	tr|G7YA02|G7YA02_CLOSI	***	Protein rolling stone		GO:0016020, GO:0016021
SMED30001178			Unknown protein		
SMED30025145	sp|Q9EQX9|UBE2N_RAT	***	Ubiquitin-conjugating enzyme E2 N		
SMED30001175			Unknown protein		
SMED30025146			Unknown protein		
SMED30001176			Unknown protein		
SMED30025147			Unknown protein		
SMED30001173			Unknown protein		
SMED30025140			Unknown protein		
SMED30001174			Unknown protein		
SMED30025141			Unknown protein		
SMED30001171			Unknown protein		
SMED30025142			Unknown protein		
SMED30001172	sp|P12262|EF1B_ARTSA	***	Elongation factor 1-beta		GO:0003746, GO:0005853, GO:0006412, GO:0006414
SMED30025143			Unknown protein		
SMED30025148			Unknown protein		
SMED30025149			Unknown protein		
SMED30001179			Unknown protein		
SMED30013166			Unknown protein		
SMED30013165			Unknown protein		
SMED30013168	sp|P27730|CAN_SCHMA	***	Calpain		GO:0004198, GO:0005509, GO:0006508, GO:0008233, GO:0008234, GO:0016787, GO:0046872
SMED30013167			Unknown protein		
SMED30013162			Unknown protein		
SMED30013161			Unknown protein		
SMED30013164	tr|L8ITT2|L8ITT2_9CETA	***	MIT domain-containing protein 1		GO:0000281, GO:0019898, GO:0019904, GO:0030496, GO:0032091, GO:0035091, GO:0042802, GO:0043231, GO:0061952
SMED30013163	tr|A0A0X3NVZ4|A0A0X3NVZ4_SCHSO	***	p2X purinoceptor 4		GO:0000166, GO:0001614, GO:0004931, GO:0005524, GO:0005887, GO:0016020, GO:0016021, GO:0033198, GO:0035590, GO:0060079, GO:0098655, GO:0098794
SMED30001180			Unknown protein		
SMED30001181	tr|A0A4Y5UXT8|A0A4Y5UXT8_LAGSI	*-*	Lsfw2.2 protein		GO:0016020, GO:0016021
SMED30027790			Unknown protein		
SMED30013169	tr|A0A2R8ZZD7|A0A2R8ZZD7_PANPA	***	Cactin, spliceosome C complex subunit		GO:0001933, GO:0005634, GO:0005654, GO:0005829, GO:0016607, GO:0031665, GO:0032088, GO:0032688, GO:0032717, GO:0032720, GO:0034122, GO:0043124, GO:0060339, GO:0071013, GO:0071222, GO:0071347, GO:0071356
SMED30001188			Unknown protein		
SMED30025133			Unknown protein		
SMED30027796			Unknown protein		
SMED30001189	tr|A0A193KUT0|A0A193KUT0_SCHMD	***	GCR121		GO:0004888, GO:0004930, GO:0007166, GO:0007186, GO:0016020, GO:0016021
SMED30025134	sp|Q6QNM1|KC1_TOXGO	*-*	Casein kinase I		GO:0000166, GO:0004672, GO:0004674, GO:0005524, GO:0006468, GO:0016301, GO:0016310, GO:0016740
SMED30027795			Unknown protein		
SMED30001186	tr|A0A221C9L4|A0A221C9L4_DUGJA	***	Calcium-dependent cysteine protease		GO:0004198, GO:0006508, GO:0008233, GO:0008234, GO:0016787, GO:0046872
SMED30025135			Unknown protein		
SMED30027798			Unknown protein		
SMED30001187			Unknown protein		
SMED30025136	tr|A0A2K6S832|A0A2K6S832_SAIBB	*-*	Zinc finger BED-type containing 5		GO:0003677
SMED30027797			Unknown protein		
SMED30001184			Unknown protein		
SMED30027792			Unknown protein		
SMED30001185	tr|A0A3Q2W7I5|A0A3Q2W7I5_HAPBU	***	Transmembrane protein 231		GO:0016020, GO:0016021
SMED30025130			Unknown protein		
SMED30027791			Unknown protein		
SMED30001182	tr|C1BU00|C1BU00_LEPSM	*-*	Transmembrane protein 199		GO:0016020, GO:0016021, GO:0070072
SMED30025131	sp|Q9LBE7|F16PA_HYDTE	***	Fructose-1,6-bisphosphatase class 1		GO:0000287, GO:0005737, GO:0005975, GO:0006094, GO:0016051, GO:0016311, GO:0016787, GO:0016791, GO:0042132, GO:0042578, GO:0046872
SMED30027794	tr|A0A5J4NTB7|A0A5J4NTB7_9TREM	***	Cullin 3		GO:0006511, GO:0031625
SMED30001183			Unknown protein		
SMED30025132			Unknown protein		
SMED30027793			Unknown protein		
SMED30013160	tr|A0A419Q636|A0A419Q636_CLOSI	***	ATP-dependent DNA helicase Q4		GO:0003676, GO:0004386, GO:0005524, GO:0006310, GO:0008270
SMED30025137	tr|A0A1S3HW29|A0A1S3HW29_LINUN	*-*	Sodium/nucleoside cotransporter		GO:0005337, GO:0016020, GO:0016021, GO:1901642
SMED30025138			Unknown protein		
SMED30027799			Unknown protein		
SMED30025139			Unknown protein		
SMED30013177	tr|A0A210PVP2|A0A210PVP2_MIZYE	***	Importin subunit alpha		GO:0005737, GO:0006606, GO:0015031, GO:0042025, GO:0061608
SMED30013176	tr|A0A1I8J1V0|A0A1I8J1V0_9PLAT	***	Roc domain-containing protein		GO:0007165
SMED30013179	tr|A0A4E0S0S3|A0A4E0S0S3_FASHE	***	Diacylglycerol kinase		GO:0000166, GO:0003951, GO:0004143, GO:0005524, GO:0007165, GO:0007205, GO:0016301, GO:0016310, GO:0016740, GO:0035556, GO:0046872
SMED30013178	tr|A0A3Q2YX09|A0A3Q2YX09_HIPCM	***	C18h3orf33 homolog (H. sapiens)		
SMED30013173			Unknown protein		
SMED30013172	sp|P62334|PRS10_MOUSE	***	26S proteasome regulatory subunit 10B		
SMED30013175	tr|R7TPS0|R7TPS0_CAPTE	*-*	Neur_chan_LBD domain-containing protein		GO:0004888, GO:0005216, GO:0005230, GO:0006811, GO:0016020, GO:0016021, GO:0034220
SMED30013174			Unknown protein		
